L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
CCN1-ITGB2,-0.2904111262976579,-1.1894521190518461,-0.2876019912832002,-0.25423246239002456,-1.0373228025318313,0.43897845256007867,-0.7722653925747819,-0.5511887571572889,-0.5611889117910148,-0.9632438973174998,-0.8840024404659252,1.11886969183722,-0.5816838378511381,-0.5614759930053463,-0.4673757111464277,-0.10881463933974057,-0.1078264764487523,-0.6624131036360086,0.8356011069303443,0.13418472670329912,2.357049115003581,-0.5805551850652398,-0.1971445518828954,0.5251314695525966,-1.0301441835248302,-0.683695412064744,1.5403636807052081,1.4026406860552951,-0.7093223759963182,-0.5598010465420646,0.9271226892533122,3.1119413989356306,0.6492793998280136
CD274-PDCD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD28-CD86,-0.7134443310742601,-0.7134443310742601,-0.7046084672531759,-0.25015984596311874,-0.7134443310742601,-0.1751628501522565,-0.4194669675996376,0.616852728137225,-0.1825234227532074,-0.6709427076310703,-0.7134443310742601,1.8199926959348163,-0.43628162159213446,-0.7134443310742601,-0.7134443310742601,-0.5348748161186513,-0.7134443310742601,-0.7134443310742601,1.9473802527469615,0.11488426307693222,1.4378420468801627,-0.7134443310742601,-0.7134443310742601,-0.10521087098384423,-0.7134443310742601,-0.7134443310742601,2.7058264862749564,1.3862850291586342,-0.0071139975717273846,-0.7134443310742601,-0.06108823834807803,2.3795882162955184,0.41355839142707657
CD28-CD247,-0.32422301608375176,-1.1697313999274006,0.1425763980083076,0.7085435716329217,-0.9892064998589867,-0.13533735031880093,-0.4419917687227149,-0.08233196068073374,0.2931306019322955,-0.8222428138414275,-0.8726236233655754,0.4821050626562271,-0.3429960374579775,-0.8075220541731377,-0.709638140156193,0.009943755837271626,-0.5659360658012939,-0.6148404505237016,1.3701236579088207,0.41920929347785335,2.904004691888855,-0.28927062391935643,-0.7144637400265594,0.5907826922831495,-1.1697313999274006,-0.7576002095066176,3.1319669715402028,1.0318527960304014,-0.29416447476142926,-1.0343684891739886,0.05294702855190857,0.20743908338992043,0.7935945130889048
CD28-CD4,-0.23230961114330292,-1.4712240578378926,-0.10695899549584263,0.3940301049407845,-0.9744807216569453,0.03583527721928538,-0.7869274550270188,0.22097009292773004,0.4533506071017624,-0.7725085587121119,-0.7048709628853549,0.6935700191374284,-0.44850113902751265,-0.636087881289138,-0.7033326123878685,-0.20332876229670502,-0.46389485519661194,-0.6095891899145105,1.1771621315335734,0.08010649317536934,2.8297222844786094,-0.488427240765273,-0.6949657564447096,0.5356972811207508,-1.4712240578378926,-0.5773490129792069,3.170375346266824,1.2718906547606552,0.043854580686096684,-0.6079848861417825,0.011328694782144166,0.562150980715596,0.4739212081930695
CD34-SELL,-0.6645052680626473,-0.6645052680626473,-0.3603298185180118,-0.4680837497240855,-0.6645052680626473,1.0447596305520348,-0.6645052680626473,-0.6312846770482046,-0.5074498002464646,-0.6645052680626473,-0.6645052680626473,0.6245452517208873,-0.6645052680626473,-0.606484028497909,-0.5895270813735928,-0.3447622224088093,-0.5980603584090964,-0.6645052680626473,2.422632503823522,-0.13770335747592427,2.020641947799154,-0.6645052680626473,-0.36706703300042665,0.2758252850870964,-0.6645052680626473,-0.6645052680626473,2.605894759929148,0.8831552650475567,-0.5226465969470624,-0.6645052680626473,0.20851110406533555,2.344059815611889,0.6774363767647337
CD34-SELE,-1.2903933173887001,0.6268038837147702,-0.4069098981531281,-1.0221039275223487,-1.1616882865379157,0.5951112074773085,-0.9825310959562507,0.7168087003656874,0.6235273641201242,-1.4603079286151903,-1.5926207845238876,-1.0882293579212088,-0.5877287444813529,-0.7874964391886039,-0.37445925572260785,1.3364081214660535,-0.9030451901752414,-0.5436191312250649,0.6751654443815095,0.724244466274737,0.08651947995016802,-0.18938125166567615,2.1092485347184224,1.430589083695855,-0.9413513697443259,-0.40786594102394524,2.0402176722724996,0.3521096341094123,-0.6414626494247401,0.29475164574959173,0.5157261639760952,0.8610915060217355,1.3928716609762242
CD86-CD28,-0.6321036654094047,-0.7446794014281117,-0.36301225603393544,-0.1462905616333793,-0.7446794014281117,-0.012607948487746674,-0.46612391147281557,-0.32750633081871294,-0.06793893039602847,-0.7291034130676783,-0.7401789621682324,0.9167160903837726,-0.1175552546784995,-0.5298323445869177,-0.6564554058173497,-0.19934400758991724,-0.4877202238201039,-0.2559668511000744,1.3710490901959083,0.1450334883323939,1.9581359499560962,-0.35048708061406786,-0.5443957020387664,0.24581816574621174,-0.7446794014281117,-0.6711454385211555,3.899160573652896,1.1611035875236952,-0.7446794014281117,-0.7234878593693117,0.513837552229664,-0.7446794014281117,1.5337986567440152
CD86-CTLA4,-0.48180685742408436,-0.5444761475108157,-0.3729861691861026,-0.30272689712999146,-0.5444761475108157,0.6834085867151212,-0.5444761475108157,-0.23920846663777479,-0.08184179393965683,-0.5444761475108157,-0.5444761475108157,-0.07082669028320063,-0.5444761475108157,-0.5444761475108157,-0.5444761475108157,-0.010626862320715203,-0.5444761475108157,-0.540436014716077,1.182066491155446,0.7388941026901318,1.7713321355186922,-0.4988537248748444,-0.5444761475108157,0.23651571437277558,-0.5444761475108157,-0.5444761475108157,4.46504258540231,1.1965785433650669,-0.5444761475108157,-0.5444761475108157,-0.19341831450681862,-0.5444761475108157,0.6860358444619576
CFH-CFB,0.6816753137835888,-1.434674178197942,0.15818474337577504,-0.4488476178187059,-0.9729019080484964,-0.06162798707000574,-0.6956856921102959,-0.6540899356484079,0.3549663311018616,-0.8795131702747905,-0.5877706071840394,0.9995302956435225,-0.5045176883352195,-0.5925845391828409,-0.29316649634518943,0.4390416868339847,-0.2970870737117557,-1.1941097282096353,0.3558923034768853,1.6641146289532562,0.6063974805955457,-0.8028174708841099,0.709336252377615,0.7258489098901055,-0.9506636183883246,-0.2837813645987866,0.456670644784621,-0.07298183968902017,-0.7742659008174504,-0.6595618555543032,0.5747751014258949,4.007833141984762,0.4263818378419065
