L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
EDN1-ADGRL4,0.3318420325876823,0.09318932428813717,0.6915896199026306,0.2410821012897129,0.39199614271938354,0.37620471917580706,0.1682131608070146,0.09673487715696966,0.42499129829446586,0.24190969733722825,0.26336898395721886,0.7123782028148682,0.9218900675024118,0.26068111455108467,0.35486981677917173,0.4597873047524094,0.41914741605144,0.6176470588235294,0.26438587304357886,0.4924291089290635,0.6765906362545012,0.9146110056926,0.5339646694591154,0.3583221230280047,0.39984621299500234,0.3727761374820188,1.0,0.877673470559527,0.39641943734015295,0.9111047345767576,0.6050420168067223,0.0,0.3793908204176894
EDN1-EGFR,0.6102597896782194,0.8678553846885326,0.5544609145125474,0.7206815167794296,0.7005671025862158,0.35769262782986555,1.0,0.870320636059621,0.717784980468324,0.7057088857923235,0.8016061179511703,0.5001874118129084,0.4094965055143453,0.41351263779114017,0.3016105134202232,0.3111163403320936,0.582723329983149,0.3783850295570018,0.6424780226072595,0.26170856540031545,0.31361817940779624,0.5159988424968018,0.4912691693244183,0.34833643202003906,0.6870481786453527,0.4487934629317889,0.2571769749875832,0.30403366159831774,0.7552963344464587,0.5648941618953821,0.3073103142670896,0.0,0.530652303873098
HLA-DMB-CD4,0.20845040907657908,0.006501031630117628,0.21569755814223607,0.2661087962032798,0.053057883341505276,0.3311504554393178,0.0054257136208796415,0.29188514126342574,0.2823739241176043,0.1092263695630198,0.114733939588179,0.5125436415991153,0.15225335423944383,0.13974939831361088,0.1197392478132019,0.18145760998887286,0.20856461097035306,0.1169813020220411,0.5489264479971717,0.24662404172426125,0.8805531224501665,0.10287490421559298,0.1307704845952899,0.3954884536410397,0.0,0.09185338051756209,1.0,0.6140650812089247,0.22612056233602668,0.11027845736193687,0.32143853054421695,0.43611463776082954,0.41941894838461985
HLA-DQA2-LAG3,0.566439100767139,0.5234802066438411,0.6073485635596029,0.11496830285327227,0.0,0.0,0.0,0.4482992529499425,0.49753927546382204,0.09524445180929939,0.0,0.51063005258614,0.0,0.0,0.0,0.2755206636255027,0.0,0.0,0.6289405575391955,0.22176053413760002,0.5001379580071912,0.0,0.0,0.47526738393721757,0.0,0.0,1.0,0.5415196572580656,0.005462136810798238,0.002492431360267213,0.1348387979227061,0.5437481332138601,0.5775577776130947
HLA-DQA2-CD4,0.2210799907627476,0.0,0.21368428706563944,0.27453369968289904,0.045882878326486694,0.33641324615930823,0.0105262067692116,0.27582204675231276,0.3491512240279914,0.1123155126575075,0.12432369426041874,0.5269333400877065,0.17596242617928975,0.1152513196789794,0.11053895918629919,0.17571432390577285,0.22624769939319336,0.15356714458265153,0.5713096431996912,0.23918115878828003,0.892978417614981,0.14235405805808554,0.10414798389752745,0.3492949863771424,0.023996370777869792,0.10224251082593248,1.0,0.6109979929545977,0.2783493408957269,0.12324827739560815,0.25467105850964666,0.4409595425213072,0.40879247848104416
HLA-DQB2-LAG3,0.7816468747868089,0.6363635175560252,0.874763412034497,0.08404827069530788,0.0,0.0,0.0,0.6368991710506544,0.48831849031308394,0.06821588175102948,0.0,0.3835456640086173,0.0,0.0,0.0,0.31119232294717714,0.0,0.0,0.6089326263195067,0.17398073428620622,0.408159230355431,0.0,0.0,0.5225261479027622,0.0,0.0,1.0,0.550828523539801,0.0,0.0,0.17112113949807847,0.0,0.552967213928742
HLA-DRB5-LAG3,0.5078763687251697,0.6310172191681537,0.5083406041281049,0.0,0.0,0.0,0.0,0.4207998844720393,0.33354973062032706,0.0058106028579011145,0.0,0.2906120619435961,0.0,0.0,0.0,0.25124523721581515,0.0,0.0,0.7225893886436876,0.14129826654803535,0.47653108182739723,0.0,0.0,0.6060310334732137,0.0,0.0,1.0,0.5050190140524108,0.0,0.0,0.234861141116631,0.4956363534971919,0.5398882495966659
HLA-DRB5-CD4,0.18953147906414639,0.0,0.22053882622637552,0.2550601600421105,0.04591513859622822,0.3376699917144084,0.013832669501370694,0.24436099178909734,0.2798186706939719,0.10090658250545488,0.12166242886608643,0.4146168639483676,0.13957742193975775,0.1146358052404091,0.11071397982890273,0.14889618278975184,0.22571747691442776,0.11877253661458627,0.46463167023462626,0.1944100165757878,0.8894065674239514,0.10870544239477731,0.1474788833747457,0.3876863046428731,0.005967106488939631,0.08705017397116287,1.0,0.6042043087612682,0.19281352856898115,0.11525495064890522,0.3122841981070305,0.44213387595388576,0.3749606000670773
ICAM1-EGFR,0.38720375662012985,0.8182375911764695,0.3088831951748217,0.6031009022487075,0.35407001037911034,0.545744450553847,0.9847827283862876,0.6519575613140973,0.6974976153374128,1.0,0.9343158674607674,0.573745481184937,0.27136264113359354,0.11529395855592699,0.07413160810278344,0.19160206769310104,0.1777477529103891,0.24638812399780935,0.5435432447274232,0.0,0.2158424406662696,0.4645289302802942,0.21849288732812294,0.3061415536869521,0.6887923222986382,0.5214796890225439,0.04547054816036515,0.12852472235643364,0.6880510452962455,0.2692552752449539,0.10451550961851173,0.20701783849851332,0.007653205834664113
ICAM1-IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4399203800250151,0.0,0.0,0.0,0.0,0.0,0.0,0.6651911282294517,0.19587303913250123,0.6061080991735532,0.0,0.0,0.20749699921290815,0.0,0.0,1.0,0.45345832352567883,0.0,0.0,0.12467049803697526,0.6224599780384885,0.48611515721665294
